pid,classified,prob
IFCB1_2008_113_223114_00312,mix,0.9033333333333332
IFCB1_2008_113_223114_00313,mix,0.3433333333333333
IFCB1_2008_113_223114_00315,detritus,0.7066666666666672
IFCB1_2008_113_223114_00317,mix,0.9033333333333332
IFCB1_2008_113_223114_00320,mix,0.98
IFCB1_2008_113_223114_00322,mix,0.7933333333333333
IFCB1_2008_113_223114_00323,mix,0.9733333333333342
IFCB1_2008_113_223114_00326,mix,0.5000000000000001
IFCB1_2008_113_223114_00327,mix,0.43000000000000016
IFCB1_2008_113_223114_00328,mix,0.4733333333333332
IFCB1_2008_113_223114_00329,mix,0.9866666666666664
IFCB1_2008_113_223114_00331,mix,0.9566666666666668
IFCB1_2008_113_223114_00332,mix,0.5399999999999996
IFCB1_2008_113_223114_00333,mix,0.4833333333333332
IFCB1_2008_113_223114_00334,mix,0.9766666666666672
IFCB1_2008_113_223114_00335,mix,0.8433333333333329
IFCB1_2008_113_223114_00336,mix,0.7866666666666667
IFCB1_2008_113_223114_00338,mix,0.9933333333333332
IFCB1_2008_113_223114_00339,mix,1.0
IFCB1_2008_113_223114_00340,mix,0.7999999999999996
IFCB1_2008_113_223114_00341,mix,0.6233333333333332
IFCB1_2008_113_223114_00342,mix,0.6366666666666665
IFCB1_2008_113_223114_00344,mix,0.9900000000000002
IFCB1_2008_113_223114_00345,mix,0.8600000000000003
IFCB1_2008_113_223114_00346,mix,0.9499999999999996
IFCB1_2008_113_223114_00347,mix,0.6966666666666669
IFCB1_2008_113_223114_00348,mix,0.6033333333333337
IFCB1_2008_113_223114_00352,mix,0.9633333333333336
IFCB1_2008_113_223114_00353,mix,0.9900000000000002
IFCB1_2008_113_223114_00354,mix,0.98
IFCB1_2008_113_223114_00355,mix,0.9900000000000002
IFCB1_2008_113_223114_00358,mix,0.9800000000000004
IFCB1_2008_113_223114_00362,mix,0.9700000000000002
IFCB1_2008_113_223114_00363,mix,0.8100000000000002
IFCB1_2008_113_223114_00365,mix,0.9399999999999996
IFCB1_2008_113_223114_00366,Dinophysis,0.19
IFCB1_2008_113_223114_00367,mix,0.9399999999999996
IFCB1_2008_113_223114_00368,mix,0.9433333333333328
IFCB1_2008_113_223114_00371,mix,0.9033333333333337
IFCB1_2008_113_223114_00372,mix,0.7766666666666667
IFCB1_2008_113_223114_00374,mix,0.8266666666666658
IFCB1_2008_113_223114_00375,mix,0.8200000000000003
IFCB1_2008_113_223114_00377,detritus,0.3166666666666669
IFCB1_2008_113_223114_00378,mix,0.9033333333333337
IFCB1_2008_113_223114_00379,mix,0.9700000000000002
IFCB1_2008_113_223114_00380,mix,0.9599999999999996
IFCB1_2008_113_223114_00381,mix,0.8499999999999999
IFCB1_2008_113_223114_00383,mix,0.8766666666666658
IFCB1_2008_113_223114_00384,mix,0.8166666666666671
IFCB1_2008_113_223114_00386,mix,0.9866666666666666
IFCB1_2008_113_223114_00387,mix,0.88
IFCB1_2008_113_223114_00388,mix,0.43999999999999984
IFCB1_2008_113_223114_00389,mix,0.8766666666666659
IFCB1_2008_113_223114_00390,mix,0.9866666666666668
IFCB1_2008_113_223114_00391,mix,0.5233333333333335
IFCB1_2008_113_223114_00392,mix,0.7433333333333333
IFCB1_2008_113_223114_00394,mix,0.8066666666666668
IFCB1_2008_113_223114_00395,mix,0.8466666666666665
IFCB1_2008_113_223114_00396,mix,0.956666666666666
IFCB1_2008_113_223114_00397,mix,0.5533333333333336
IFCB1_2008_113_223114_00399,mix,0.7400000000000001
IFCB1_2008_113_223114_00401,mix,0.8433333333333327
IFCB1_2008_113_223114_00402,mix,0.8433333333333334
IFCB1_2008_113_223114_00403,Dinobryon,0.53
IFCB1_2008_113_223114_00404,Chaetoceros,0.2766666666666667
IFCB1_2008_113_223114_00406,mix,0.983333333333334
IFCB1_2008_113_223114_00407,mix,0.7133333333333332
IFCB1_2008_113_223114_00408,mix,0.8966666666666671
IFCB1_2008_113_223114_00409,detritus,0.3966666666666671
IFCB1_2008_113_223114_00412,mix,0.9900000000000002
IFCB1_2008_113_223114_00414,mix,0.96
IFCB1_2008_113_223114_00415,mix,0.9900000000000002
IFCB1_2008_113_223114_00417,mix,0.803333333333333
IFCB1_2008_113_223114_00418,mix,0.4966666666666666
IFCB1_2008_113_223114_00420,Chaetoceros,0.3566666666666665
IFCB1_2008_113_223114_00422,mix,0.94
IFCB1_2008_113_223114_00423,Skeletonema,0.5866666666666672
IFCB1_2008_113_223114_00425,mix,0.5800000000000005
IFCB1_2008_113_223114_00426,detritus,0.41
IFCB1_2008_113_223114_00427,mix,0.7466666666666664
IFCB1_2008_113_223114_00428,mix,0.94
IFCB1_2008_113_223114_00429,detritus,0.4599999999999999
IFCB1_2008_113_223114_00431,mix,0.7633333333333335
IFCB1_2008_113_223114_00432,mix,0.7099999999999997
IFCB1_2008_113_223114_00433,mix,0.9599999999999996
IFCB1_2008_113_223114_00436,mix,0.9833333333333336
IFCB1_2008_113_223114_00437,mix,0.8333333333333333
IFCB1_2008_113_223114_00438,mix,0.9633333333333332
IFCB1_2008_113_223114_00439,mix,0.8999999999999996
IFCB1_2008_113_223114_00440,detritus,0.3700000000000002
IFCB1_2008_113_223114_00441,mix,0.7600000000000002
IFCB1_2008_113_223114_00444,mix,0.9766666666666668
IFCB1_2008_113_223114_00445,mix,0.8899999999999996
IFCB1_2008_113_223114_00446,mix,0.99
IFCB1_2008_113_223114_00448,mix,0.8933333333333335
IFCB1_2008_113_223114_00449,mix,0.9699999999999996
IFCB1_2008_113_223114_00450,dino30,0.5833333333333327
IFCB1_2008_113_223114_00451,mix,0.6166666666666666
IFCB1_2008_113_223114_00452,mix,0.3933333333333335
IFCB1_2008_113_223114_00455,mix,0.4599999999999999
IFCB1_2008_113_223114_00457,mix,0.9633333333333329
IFCB1_2008_113_223114_00458,mix,0.9733333333333336
IFCB1_2008_113_223114_00461,mix,0.95
IFCB1_2008_113_223114_00463,mix,0.7333333333333334
IFCB1_2008_113_223114_00464,Skeletonema,0.7000000000000004
IFCB1_2008_113_223114_00467,mix,0.3499999999999999
IFCB1_2008_113_223114_00468,mix,0.6066666666666661
IFCB1_2008_113_223114_00469,mix,0.9833333333333336
IFCB1_2008_113_223114_00470,mix,0.3300000000000001
IFCB1_2008_113_223114_00472,mix,0.9733333333333338
IFCB1_2008_113_223114_00473,mix,0.9300000000000002
IFCB1_2008_113_223114_00475,mix,0.9933333333333332
IFCB1_2008_113_223114_00476,detritus,0.346666666666667
IFCB1_2008_113_223114_00478,mix,0.3133333333333336
IFCB1_2008_113_223114_00480,mix,0.9533333333333336
IFCB1_2008_113_223114_00481,mix,0.6800000000000006
IFCB1_2008_113_223114_00482,mix,0.9866666666666666
IFCB1_2008_113_223114_00484,mix,0.3566666666666664
IFCB1_2008_113_223114_00486,mix,0.9633333333333328
IFCB1_2008_113_223114_00488,mix,0.9000000000000001
IFCB1_2008_113_223114_00489,detritus,0.3766666666666667
IFCB1_2008_113_223114_00492,detritus,0.5766666666666663
IFCB1_2008_113_223114_00493,mix,0.9866666666666666
IFCB1_2008_113_223114_00494,mix,0.856666666666667
IFCB1_2008_113_223114_00496,detritus,0.3566666666666669
IFCB1_2008_113_223114_00497,mix,0.9766666666666668
IFCB1_2008_113_223114_00498,mix,0.39
IFCB1_2008_113_223114_00499,mix,0.8799999999999998
IFCB1_2008_113_223114_00500,mix,0.8233333333333328
IFCB1_2008_113_223114_00501,mix,0.6233333333333329
IFCB1_2008_113_223114_00502,detritus,0.3800000000000001
IFCB1_2008_113_223114_00503,mix,0.99
IFCB1_2008_113_223114_00504,mix,0.6633333333333336
IFCB1_2008_113_223114_00505,mix,0.96
IFCB1_2008_113_223114_00506,mix,0.9766666666666668
IFCB1_2008_113_223114_00507,mix,0.8466666666666658
IFCB1_2008_113_223114_00508,mix,0.9166666666666672
IFCB1_2008_113_223114_00509,Skeletonema,0.496666666666667
IFCB1_2008_113_223114_00511,mix,0.946666666666666
IFCB1_2008_113_223114_00512,mix,0.9733333333333334
IFCB1_2008_113_223114_00513,mix,0.9266666666666667
IFCB1_2008_113_223114_00515,mix,0.8566666666666668
IFCB1_2008_113_223114_00516,mix,0.7400000000000002
IFCB1_2008_113_223114_00518,detritus,0.4599999999999999
IFCB1_2008_113_223114_00521,mix,0.3899999999999998
IFCB1_2008_113_223114_00523,mix,0.8999999999999999
IFCB1_2008_113_223114_00524,mix,0.9266666666666667
IFCB1_2008_113_223114_00525,mix,0.996666666666667
IFCB1_2008_113_223114_00526,detritus,0.5000000000000001
IFCB1_2008_113_223114_00527,mix,0.953333333333333
IFCB1_2008_113_223114_00529,mix,0.9833333333333342
IFCB1_2008_113_223114_00531,mix,0.9633333333333336
IFCB1_2008_113_223114_00534,mix,0.9166666666666669
IFCB1_2008_113_223114_00535,mix,0.8766666666666662
IFCB1_2008_113_223114_00536,mix,0.9933333333333332
IFCB1_2008_113_223114_00537,mix,0.993333333333333
IFCB1_2008_113_223114_00538,mix,0.4799999999999999
IFCB1_2008_113_223114_00540,mix,0.6033333333333334
IFCB1_2008_113_223114_00542,mix,0.8299999999999998
IFCB1_2008_113_223114_00543,mix,0.6900000000000003
IFCB1_2008_113_223114_00544,mix,0.7099999999999997
IFCB1_2008_113_223114_00545,mix,0.953333333333333
IFCB1_2008_113_223114_00546,mix,0.7466666666666665
IFCB1_2008_113_223114_00547,mix,0.8466666666666663
IFCB1_2008_113_223114_00552,Phaeocystis,0.4766666666666664
IFCB1_2008_113_223114_00555,detritus,0.5433333333333329
IFCB1_2008_113_223114_00556,mix,0.9766666666666668
IFCB1_2008_113_223114_00557,mix,0.9099999999999998
IFCB1_2008_113_223114_00559,mix,0.9433333333333336
IFCB1_2008_113_223114_00560,detritus,0.4500000000000001
IFCB1_2008_113_223114_00561,mix,0.9599999999999996
IFCB1_2008_113_223114_00563,mix,0.8566666666666666
IFCB1_2008_113_223114_00565,detritus,0.4966666666666666
IFCB1_2008_113_223114_00566,mix,0.6599999999999998
IFCB1_2008_113_223114_00569,mix,0.5599999999999997
IFCB1_2008_113_223114_00570,mix,0.8766666666666658
IFCB1_2008_113_223114_00571,mix,0.7966666666666666
IFCB1_2008_113_223114_00572,mix,0.9633333333333328
IFCB1_2008_113_223114_00573,mix,0.9200000000000004
IFCB1_2008_113_223114_00574,mix,0.6933333333333334
IFCB1_2008_113_223114_00575,mix,0.9733333333333342
IFCB1_2008_113_223114_00576,mix,0.966666666666666
IFCB1_2008_113_223114_00581,mix,0.8266666666666667
IFCB1_2008_113_223114_00582,mix,0.4366666666666665
IFCB1_2008_113_223114_00583,mix,0.7566666666666665
IFCB1_2008_113_223114_00584,mix,0.8766666666666658
IFCB1_2008_113_223114_00585,mix,0.9099999999999996
IFCB1_2008_113_223114_00586,mix,0.5166666666666668
IFCB1_2008_113_223114_00588,mix,0.9733333333333332
IFCB1_2008_113_223114_00589,mix,0.4033333333333333
IFCB1_2008_113_223114_00590,mix,0.9733333333333336
IFCB1_2008_113_223114_00593,mix,0.7500000000000004
IFCB1_2008_113_223114_00595,mix,0.3633333333333335
IFCB1_2008_113_223114_00596,mix,0.8966666666666662
IFCB1_2008_113_223114_00598,mix,0.8433333333333329
IFCB1_2008_113_223114_00600,mix,0.9933333333333332
IFCB1_2008_113_223114_00602,mix,0.9733333333333336
IFCB1_2008_113_223114_00604,mix,0.55
IFCB1_2008_113_223114_00606,mix,0.5299999999999996
IFCB1_2008_113_223114_00607,mix,0.9533333333333328
IFCB1_2008_113_223114_00608,mix,0.7099999999999999
IFCB1_2008_113_223114_00610,mix,0.5066666666666665
IFCB1_2008_113_223114_00612,mix,0.99
IFCB1_2008_113_223114_00613,mix,0.8333333333333334
